Event,Time,Cell,Notes
Duplicate,370.3886245176574,0effaa42-e2f3-11ed-1ccc-f3ad4609dfdf,"Base.UUID[UUID(""0eff8330-e2f3-11ed-0437-1f745d1516f0"")]"
Death,370.7566679829261,0eff0e00-e2f3-11ed-0965-15a2b61e989e,UndefInitializer()
Death,377.04149409455755,0effaa42-e2f3-11ed-08c9-f9986b1b3bee,UndefInitializer()
Death,383.053064585648,0eff3510-e2f3-11ed-2e63-cb805de71f66,UndefInitializer()
Duplicate,384.11203021251765,0effd150-e2f3-11ed-0933-85eecd165362,"Base.UUID[UUID(""0eff3510-e2f3-11ed-03f0-13e61b23f7e1"")]"
Duplicate,384.11203021251765,0effd150-e2f3-11ed-0a79-69c4bf729448,"Base.UUID[UUID(""0eff3510-e2f3-11ed-03f0-13e61b23f7e1"")]"
Duplicate,384.1755971510923,0efff860-e2f3-11ed-1b09-074b73152992,"Base.UUID[UUID(""0effd150-e2f3-11ed-0933-85eecd165362"")]"
Duplicate,384.1755971510923,0efff860-e2f3-11ed-388c-df2b08cd96eb,"Base.UUID[UUID(""0effd150-e2f3-11ed-0933-85eecd165362"")]"
Death,393.9451001498015,0eff3510-e2f3-11ed-0f99-c38269efa524,UndefInitializer()
Death,408.964338930077,0efff860-e2f3-11ed-1b09-074b73152992,UndefInitializer()
Duplicate,409.29360760115395,0f001f6e-e2f3-11ed-3c9c-2bbf8365b14c,"Base.UUID[UUID(""0eff8330-e2f3-11ed-1fd7-9de46bd6289c"")]"
Duplicate,409.29360760115395,0f001f6e-e2f3-11ed-15e0-390a1c7f7b9c,"Base.UUID[UUID(""0eff8330-e2f3-11ed-1fd7-9de46bd6289c"")]"
Duplicate,410.952642078599,0f001f6e-e2f3-11ed-0075-7fde4f90358b,"Base.UUID[UUID(""0f001f6e-e2f3-11ed-3c9c-2bbf8365b14c"")]"
Duplicate,410.952642078599,0f001f6e-e2f3-11ed-2dc9-17aa6d9eda0e,"Base.UUID[UUID(""0f001f6e-e2f3-11ed-3c9c-2bbf8365b14c"")]"
Death,417.7164720793983,0effd150-e2f3-11ed-0a79-69c4bf729448,UndefInitializer()
Duplicate,418.4502458928713,0f004680-e2f3-11ed-15ec-09ee58bfb4c1,"Base.UUID[UUID(""0f001f6e-e2f3-11ed-15e0-390a1c7f7b9c"")]"
Duplicate,418.4502458928713,0f004680-e2f3-11ed-3bbc-2d0b1e143386,"Base.UUID[UUID(""0f001f6e-e2f3-11ed-15e0-390a1c7f7b9c"")]"
Death,425.07744543242865,0efff860-e2f3-11ed-388c-df2b08cd96eb,UndefInitializer()
Death,429.1634196883416,0f004680-e2f3-11ed-15ec-09ee58bfb4c1,UndefInitializer()
Duplicate,432.00307827054456,0f006d90-e2f3-11ed-1e36-a7947f2ac0b3,"Base.UUID[UUID(""0effaa42-e2f3-11ed-1ccc-f3ad4609dfdf"")]"
Duplicate,432.00307827054456,0f006d90-e2f3-11ed-2405-056f64e469d9,"Base.UUID[UUID(""0effaa42-e2f3-11ed-1ccc-f3ad4609dfdf"")]"
Duplicate,432.4384120272295,0f006d90-e2f3-11ed-050b-0f62e41d59b9,"Base.UUID[UUID(""0f004680-e2f3-11ed-3bbc-2d0b1e143386"")]"
Duplicate,432.4384120272295,0f006d90-e2f3-11ed-2c27-fd5db44fd840,"Base.UUID[UUID(""0f004680-e2f3-11ed-3bbc-2d0b1e143386"")]"
Duplicate,444.2267359817972,0f00bbb0-e2f3-11ed-2082-cbeff94c0b59,"Base.UUID[UUID(""0f006d90-e2f3-11ed-2c27-fd5db44fd840"")]"
Duplicate,444.2267359817972,0f00bbb0-e2f3-11ed-2212-67c0d0380e1c,"Base.UUID[UUID(""0f006d90-e2f3-11ed-2c27-fd5db44fd840"")]"
Death,449.3114593972581,0efe4ab0-e2f3-11ed-0a41-076968506953,UndefInitializer()
